ID,description,longitude,latitude,imgp,imgc,imgo,imgf,imgg,icon
WSQ42,王克桢楼南门柱子,116.314897,39.986922,figure/taxa/WSQ42_L2_phylum.png,figure/taxa/WSQ42_L3_class.png,figure/taxa/WSQ42_L4_order.png,figure/taxa/WSQ42_L4_order.png,figure/taxa/WSQ42_L5_family.png,figure/taxa/WSQ42_L6_genus.png
WSQ43,理科5号楼马寅初雕像,116.314694,39.989891,figure/taxa/WSQ43_L2_phylum.png,figure/taxa/WSQ43_L3_class.png,figure/taxa/WSQ43_L4_order.png,figure/taxa/WSQ43_L4_order.png,figure/taxa/WSQ43_L5_family.png,figure/taxa/WSQ43_L6_genus.png
WSQ44,光华管理学院2号楼西门把手,116.313287,39.99555,figure/taxa/WSQ44_L2_phylum.png,figure/taxa/WSQ44_L3_class.png,figure/taxa/WSQ44_L4_order.png,figure/taxa/WSQ44_L4_order.png,figure/taxa/WSQ44_L5_family.png,figure/taxa/WSQ44_L6_genus.png
WYXY-1,北京市海淀区·北京大学,116.306445,39.996181,figure/taxa/WYXY-1_L2_phylum.png,figure/taxa/WYXY-1_L3_class.png,figure/taxa/WYXY-1_L4_order.png,figure/taxa/WYXY-1_L4_order.png,figure/taxa/WYXY-1_L5_family.png,figure/taxa/WYXY-1_L6_genus.png
XW10,30楼秋千,116.309363,39.988086,figure/taxa/XW10_L2_phylum.png,figure/taxa/XW10_L3_class.png,figure/taxa/XW10_L4_order.png,figure/taxa/XW10_L4_order.png,figure/taxa/XW10_L5_family.png,figure/taxa/XW10_L6_genus.png
XW11,新太阳学生中心一层桌面,116.311164,39.98888,figure/taxa/XW11_L2_phylum.png,figure/taxa/XW11_L3_class.png,figure/taxa/XW11_L4_order.png,figure/taxa/XW11_L4_order.png,figure/taxa/XW11_L5_family.png,figure/taxa/XW11_L6_genus.png
XW12,百周年纪念讲堂南侧广告牌,116.310755,39.989626,figure/taxa/XW12_L2_phylum.png,figure/taxa/XW12_L3_class.png,figure/taxa/XW12_L4_order.png,figure/taxa/XW12_L4_order.png,figure/taxa/XW12_L5_family.png,figure/taxa/XW12_L6_genus.png
XW13,图书馆闸机,116.309972,39.991902,figure/taxa/XW13_L2_phylum.png,figure/taxa/XW13_L3_class.png,figure/taxa/XW13_L4_order.png,figure/taxa/XW13_L4_order.png,figure/taxa/XW13_L5_family.png,figure/taxa/XW13_L6_genus.png
XW14,革命烈士纪念碑,116.308191,39.992156,figure/taxa/XW14_L2_phylum.png,figure/taxa/XW14_L3_class.png,figure/taxa/XW14_L4_order.png,figure/taxa/XW14_L4_order.png,figure/taxa/XW14_L5_family.png,figure/taxa/XW14_L6_genus.png
XW37,快递服务中心快递柜,116.310593,39.986624,figure/taxa/XW37_L2_phylum.png,figure/taxa/XW37_L3_class.png,figure/taxa/XW37_L4_order.png,figure/taxa/XW37_L4_order.png,figure/taxa/XW37_L5_family.png,figure/taxa/XW37_L6_genus.png
